City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lycksele,64.5954,18.6735,21.07,93,75,3.44,SE,2024-04-05 19:23:58
1,as sulayyil,20.4607,45.5779,77.25,40,76,8.79,SA,2024-04-05 19:23:58
2,hotan,37.0997,79.9269,55.99,22,53,3.29,CN,2024-04-05 19:23:58
3,punta arenas,-53.15,-70.9167,59.02,58,75,33.38,CL,2024-04-05 19:21:22
4,grytviken,-54.2811,-36.5092,37.02,87,100,7.81,GS,2024-04-05 19:23:59
5,antalaha,-14.9003,50.2788,77.41,88,24,6.35,MG,2024-04-05 19:23:59
6,longyearbyen,78.2186,15.6401,-5.96,65,20,0.0,SJ,2024-04-05 19:23:59
7,stanley,54.868,-1.6985,54.99,76,20,18.41,GB,2024-04-05 19:23:59
8,bethel,41.3712,-73.414,48.07,54,100,12.66,US,2024-04-05 19:23:59
9,varva,50.495,32.7197,48.34,46,100,6.38,UA,2024-04-05 19:23:59
10,bilibino,68.0546,166.4372,-11.67,97,37,3.62,RU,2024-04-05 19:24:00
11,pithoro,25.5167,69.3833,82.58,30,100,12.84,PK,2024-04-05 19:24:00
12,cobija,-11.0267,-68.7692,95.18,59,40,3.44,BO,2024-04-05 19:20:08
13,udachny,66.4167,112.4,-6.56,89,100,17.87,RU,2024-04-05 19:24:00
14,callao,-12.0667,-77.15,77.29,69,0,14.97,PE,2024-04-05 19:19:57
15,constitucion,-35.3333,-72.4167,65.35,62,10,14.12,CL,2024-04-05 19:21:35
16,blackmans bay,-43.0167,147.3167,50.52,94,2,1.01,AU,2024-04-05 19:24:00
17,port-aux-francais,-49.35,70.2167,43.56,93,49,25.55,TF,2024-04-05 19:24:01
18,puerto baquerizo moreno,-0.9,-89.6,86.99,62,40,9.22,EC,2024-04-05 19:20:09
19,vilyuchinsk,52.9306,158.4028,25.07,80,82,10.22,RU,2024-04-05 19:24:01
20,waitangi,-43.9535,-176.5597,50.83,81,100,1.01,NZ,2024-04-05 19:24:01
21,sogndal,61.2283,7.1003,37.78,55,0,3.44,NO,2024-04-05 19:24:01
22,lorengau,-2.0226,147.2712,81.32,79,67,3.0,PG,2024-04-05 19:24:01
23,anadyr,64.75,177.4833,-5.3,84,0,8.95,RU,2024-04-05 19:24:01
24,iqaluit,63.7506,-68.5145,17.33,92,100,3.44,CA,2024-04-05 19:19:10
25,lihue,21.9789,-159.3672,74.79,74,75,21.85,US,2024-04-05 19:24:02
26,khorixas,-20.3667,14.9667,83.21,45,75,2.66,NA,2024-04-05 19:24:02
27,howard springs,-12.497,131.047,78.71,90,100,5.39,AU,2024-04-05 19:24:02
28,solleftea,63.1667,17.2667,28.26,98,94,2.1,SE,2024-04-05 19:24:02
29,hadibu,12.65,54.0333,80.29,71,2,6.51,YE,2024-04-05 19:24:02
30,whitehorse,60.7161,-135.0538,34.02,80,100,16.11,CA,2024-04-05 19:24:02
31,margaret river,-33.95,115.0667,60.82,48,84,9.37,AU,2024-04-05 19:24:03
32,aasiaat,68.7098,-52.8699,20.19,91,56,9.01,GL,2024-04-05 19:24:03
